producto_id,familia,categoria,subfamilia_slug,nombre,referencia,precio_eur,gama_marca,grosor_nm,cabos,formato,longitud_m,contenido_cantidad,contenido_unidad,color_nombre,color_codigo,cremallera_maya,cremallera_material,cremallera_tipo,cremallera_largo_cm,ancho_mm,acabado,aguja_sistema,aguja_calibre,soporte,es_pack,unidades_pack,es_outlet,eje_variedad,kits,n_kits,kit_a_marroquineria,kit_b_tapiceria,kit_c_bolsos,kit_d_costura_tecnica,kit_e_bordado,kit_f_acabado,url
308-R+12245-9999999029226,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35(R)  110/18,R-12245,4.54,,,,Unidad,,,,,,,,,,,,134-35,110/18,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/308-R+12245-9999999029226.html
312-R+12056-9999999029240,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35(R)  120/19,R-12056,4.54,,,,Unidad,,,,,,,,,,,,134-35,120/19,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/312-R+12056-9999999029240.html
314-R+745-9999999029264,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35(R)  130/21,R-745,4.54,,,,Unidad,,,,,,,,,,,,134-35,130/21,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/314-R+745-9999999029264.html
299-R+22417-9999999029011,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35D  110/18,R-22417,4.94,,,,Unidad,,,,,,,,,,,,134-35D,110/18,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/299-R+22417-9999999029011.html
284-R+1284-9999999029028,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35D  120/19,R-1284,4.94,,,,Unidad,,,,,,,,,,,,134-35D,120/19,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/284-R+1284-9999999029028.html
46-R+3342-9999999029004,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35D  90/14,R-3342,4.94,,,,Unidad,,,,,,,,,,,,134-35D,90/14,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/46-R+3342-9999999029004.html
304-R+664-9999999029035,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  100/16,R-664,4.94,,,,Unidad,,,,,,,,,,,,134-35LR,100/16,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/304-R+664-9999999029035.html
482-R+32081-9999999029059,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  110/18,R-32081,4.94,,,,Unidad,,,,,,,,,,,,134-35LR,110/18,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/482-R+32081-9999999029059.html
302-R+283-9999999029103,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  130/21,R-283,4.94,,,,Unidad,,,,,,,,,,,,134-35LR,130/21,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/302-R+283-9999999029103.html
47-R+25547-9999999029189,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  70/10,R-25547,4.94,,,,Unidad,,,,,,,,,,,,134-35LR,70/10,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/47-R+25547-9999999029189.html
